cid,upc,oid,dt,r_dt,prc,qty,amt,r_qty,r_amt,web_prod_id,GMM_DESC,PARENT_MDSE_DIVN_DESC
11983408,706000000000,1202222975,5/18/2016,,15.99,1,15.99,,,"25,47,632",HOME,SOFT HOME
11983408,706000000000,1249195908,9/28/2016,,16.79,1,16.79,,,"25,47,632",HOME,SOFT HOME
13391821,887000000000,1316070915,11/27/2016,,94.99,1,94.99,,,"25,19,658",READY TO WEAR,MILLENNIAL/DENIM
13391821,887000000000,1317670392,11/27/2016,12/06/2016,99.99,1,99.99,1,99.99,"25,19,658",READY TO WEAR,MILLENNIAL/DENIM
11644990,890000000000,1195745905,4/16/2016,05/04/2016,18.99,1,18.99,1,18.99,"25,22,170",MENS & KIDS,TOTAL CHILDRENS
11644990,890000000000,1197769191,4/25/2016,,14.24,1,14.24,,,"25,22,170",MENS & KIDS,TOTAL CHILDRENS
10892140,822000000000,1201610347,05/12/2016,5/21/2016,39,1,39,1,39,"25,80,463",READY TO WEAR,CLASSIFICATIONS
10892140,822000000000,1209601859,6/30/2016,,22.94,1,22.94,,,"25,80,463",READY TO WEAR,CLASSIFICATIONS
10892140,822000000000,1195337775,4/15/2016,,34.99,1,34.99,,,"25,80,463",READY TO WEAR,CLASSIFICATIONS
11275131,888000000000,1206551111,06/12/2016,,11.89,1,11.89,,,"26,90,617",CENTER CORE,INTIMATE APPAREL/HOSIERY
11275131,888000000000,1204265300,5/29/2016,,15.07,1,15.07,,,"26,90,617",CENTER CORE,INTIMATE APPAREL/HOSIERY
12831446,736000000000,1323905472,11/30/2016,,16.99,1,16.99,,,"16,06,403",MENS & KIDS,TOTAL CHILDRENS
12831446,736000000000,1310739195,11/25/2016,11/30/2016,14.99,1,14.99,1,14.99,"16,06,403",MENS & KIDS,TOTAL CHILDRENS
11503576,619000000000,1216169832,7/24/2016,,81.59,1,81.59,,,"16,11,057",HOME,SOFT HOME
11503576,619000000000,1217400501,7/28/2016,,81.59,1,81.59,,,"16,11,057",HOME,SOFT HOME
15349229,667000000000,1225315842,8/18/2016,,21.59,1,21.59,,,"26,87,378",READY TO WEAR,SPECIAL SIZES
15349229,667000000000,1247528373,9/25/2016,,15.99,1,15.99,,,"26,87,378",READY TO WEAR,SPECIAL SIZES
11099925,846000000000,1301555361,11/20/2016,,42.49,1,42.49,,,"26,95,774",HOME,SOFT HOME
11099925,846000000000,1321219185,11/28/2016,,44.99,1,44.99,,,"26,95,774",HOME,SOFT HOME
12672558,889000000000,1216932078,7/30/2016,,45,1,45,,,"26,98,267",CENTER CORE,FASHION JEWELRY / WATCHES
12672558,889000000000,1221144366,08/07/2016,,45,2,90,,,"26,98,267",CENTER CORE,FASHION JEWELRY / WATCHES
14730702,782000000000,1317120492,11/27/2016,,39.99,1,39.99,,,"23,83,246",READY TO WEAR,CLASSIFICATIONS
14730702,782000000000,1316200125,11/27/2016,12/23/2016,46.99,1,46.99,1,46.99,"23,83,246",READY TO WEAR,CLASSIFICATIONS
11632892,617000000000,1210408058,07/05/2016,07/09/2016,11.99,1,11.99,1,11.99,"27,01,327",READY TO WEAR,CASUAL RTW
11632892,617000000000,IV16270660513,07/12/2016,,11.99,1,11.99,,,"27,01,327",READY TO WEAR,CASUAL RTW
15329600,706000000000,1206621853,06/12/2016,,19.59,1,19.59,,,"25,62,620",READY TO WEAR,CASUAL RTW
15329600,706000000000,1208865821,6/24/2016,,14.39,1,14.39,,,"25,62,620",READY TO WEAR,CASUAL RTW
11358942,50875814264,1259851302,10/11/2016,,22.5,1,22.5,,,"16,18,807",HOME,SOFT HOME
11358942,50875814264,1276996221,10/28/2016,12/10/2016,19.99,1,19.99,1,19.99,"16,18,807",HOME,SOFT HOME
14286824,687000000000,1370018034,1/14/2017,2/17/2017,59.99,1,59.99,1,59.99,"16,20,213",READY TO WEAR,COLLECTIONS RTW
14286824,687000000000,1370611251,1/13/2017,1/27/2017,59.99,1,59.99,1,59.99,"16,20,213",READY TO WEAR,COLLECTIONS RTW
11648844,646000000000,1328758455,12/04/2016,1/14/2017,9.09,1,9.09,1,9.09,"28,30,703",READY TO WEAR,MILLENNIAL/DENIM
11648844,646000000000,1330076217,12/04/2016,1/14/2017,9.09,1,9.09,1,9.09,"28,30,703",READY TO WEAR,MILLENNIAL/DENIM
15672257,774000000000,1209684348,6/28/2016,7/16/2016,14,1,14,1,14,"28,32,135",BEAUTY,COSMETICS
15672257,774000000000,1209418295,6/29/2016,7/16/2016,14,1,14,1,14,"28,32,135",BEAUTY,COSMETICS
15508160,829000000000,1195921932,4/17/2016,,24.99,1,24.99,,,"25,80,520",READY TO WEAR,MILLENNIAL/DENIM
15508160,829000000000,1194664707,04/11/2016,,34.99,1,34.99,,,"25,80,520",READY TO WEAR,MILLENNIAL/DENIM
15508160,829000000000,ST16740240440,4/17/2016,,24.99,2,49.98,,,"25,80,520",READY TO WEAR,MILLENNIAL/DENIM
11500111,716000000000,1189333379,3/16/2016,04/02/2016,97.3,1,97.3,1,97.3,"27,03,449",CENTER CORE,WOMENS SHOES
11500111,716000000000,MV16630125423,3/26/2016,,77.3,1,77.3,,,"27,03,449",CENTER CORE,WOMENS SHOES
11242889,829000000000,1208217027,6/22/2016,7/22/2016,71.99,1,71.99,1,71.99,"27,03,547",READY TO WEAR,MILLENNIAL/DENIM
11242889,829000000000,1209529566,6/30/2016,,41.59,1,41.59,,,"27,03,547",READY TO WEAR,MILLENNIAL/DENIM
11590633,23798756249,1209575423,6/29/2016,07/04/2016,23.99,1,23.99,1,23.99,"27,11,051",MENS & KIDS,TOTAL MENS
11590633,23798756249,1206363763,06/12/2016,,27.99,1,27.99,,,"27,11,051",MENS & KIDS,TOTAL MENS
15610402,890000000000,1304715447,11/23/2016,,19.99,1,19.99,,,"27,12,857",READY TO WEAR,MISSY TOTAL ACTIVE
15610402,890000000000,1302124737,11/20/2016,11/26/2016,25,1,25,1,25,"27,12,857",READY TO WEAR,MISSY TOTAL ACTIVE
12225235,608000000000,1206252801,06/11/2016,,23.19,1,23.19,,,"16,27,953",MENS & KIDS,TOTAL MENS
12225235,608000000000,1204752158,06/03/2016,07/09/2016,39.5,1,39.5,1,39.5,"16,27,953",MENS & KIDS,TOTAL MENS
10457855,608000000000,1190710311,3/25/2016,4/18/2016,28.99,1,28.99,1,28.99,"16,27,953",MENS & KIDS,TOTAL MENS
10457855,608000000000,1190775903,3/26/2016,,23.19,1,23.19,,,"16,27,953",MENS & KIDS,TOTAL MENS
11664163,735000000000,1302947853,11/23/2016,12/08/2016,45.59,1,45.59,1,45.59,"24,00,487",HOME,SOFT HOME
11664163,735000000000,1306065984,11/24/2016,,36.99,1,36.99,,,"24,00,487",HOME,SOFT HOME
11112893,842000000000,1199409295,05/01/2016,,30,2,60,,,"24,00,694",HOME,SOFT HOME
11112893,842000000000,1199409243,05/01/2016,,29.99,1,29.99,,,"24,00,694",HOME,SOFT HOME
11743443,706000000000,1197079998,4/19/2016,,24.07,1,24.07,,,"26,01,458",READY TO WEAR,COLLECTIONS RTW
11743443,706000000000,1197151642,4/21/2016,,26.39,1,26.39,,,"26,01,458",READY TO WEAR,COLLECTIONS RTW
11362752,737000000000,1199260759,05/01/2016,05/11/2016,34.49,1,34.49,1,34.49,"25,44,404",CENTER CORE,HANDBAGS & ACCESSORIES
11362752,737000000000,1199142933,4/30/2016,05/11/2016,34.49,1,34.49,1,34.49,"25,44,404",CENTER CORE,HANDBAGS & ACCESSORIES
11018986,889000000000,1206593477,06/12/2016,6/18/2016,33.6,1,33.6,1,33.6,"26,31,869",CENTER CORE,HANDBAGS & ACCESSORIES
11018986,889000000000,1197595894,4/24/2016,5/20/2016,36,1,36,1,36,"26,31,869",CENTER CORE,HANDBAGS & ACCESSORIES
11103944,806000000000,1182279838,02/06/2016,2/13/2016,48,1,48,1,48,"16,33,200",CENTER CORE,FINE JEWELRY
11103944,806000000000,1182199610,02/06/2016,,51,1,51,,,"16,33,200",CENTER CORE,FINE JEWELRY
10488404,706000000000,1210203591,07/03/2016,07/07/2016,35.19,1,35.19,1,35.19,"28,51,544",READY TO WEAR,COLLECTIONS RTW
10488404,706000000000,1293534786,11/10/2016,11/21/2016,14.39,1,14.39,1,14.39,"28,51,544",READY TO WEAR,COLLECTIONS RTW
11726703,646000000000,1219755474,08/04/2016,,5.59,1,5.59,,,"27,27,758",READY TO WEAR,MILLENNIAL/DENIM
11726703,646000000000,1217308020,7/28/2016,,7.99,1,7.99,,,"27,27,758",READY TO WEAR,MILLENNIAL/DENIM
15672549,638000000000,1200754624,05/06/2016,05/11/2016,9.99,1,9.99,1,9.99,"25,65,553",READY TO WEAR,MILLENNIAL/DENIM
15672549,638000000000,1200704419,05/06/2016,05/11/2016,9.99,1,9.99,1,9.99,"25,65,553",READY TO WEAR,MILLENNIAL/DENIM
10975118,823000000000,1210061030,07/03/2016,,15.99,1,15.99,,,"26,42,986",READY TO WEAR,SPECIAL SIZES
10975118,823000000000,1201798515,5/14/2016,,31.99,1,31.99,,,"26,42,986",READY TO WEAR,SPECIAL SIZES
12944010,706000000000,1204987812,06/03/2016,,23.19,1,23.19,,,"26,16,891",READY TO WEAR,SPECIAL SIZES
