cid,upc,oid,dt,r_dt,prc,qty,amt,r_qty,r_amt,web_prod_id,GMM_DESC,PARENT_MDSE_DIVN_DESC
11004350,706000000000,1295157348,11/13/2016,11/22/2016,20.79,1,20.79,1,20.79,"28,94,211",READY TO WEAR,COLLECTIONS RTW
11004350,706000000000,1258606243,11/13/2016,12/12/2016,18.19,1,18.19,1,18.19,"28,94,211",READY TO WEAR,COLLECTIONS RTW
14286824,706000000000,1281769281,11/01/2016,,34.84,1,34.84,,,"28,97,358",READY TO WEAR,COLLECTIONS RTW
14286824,706000000000,1256575704,10/05/2016,11/02/2016,49.99,1,49.99,1,49.99,"28,97,358",READY TO WEAR,COLLECTIONS RTW
14286824,706000000000,1272948633,10/26/2016,11/11/2016,45.49,1,45.49,1,45.49,"28,97,358",READY TO WEAR,COLLECTIONS RTW
11168134,37882394187,1203037284,5/24/2016,,23.99,1,23.99,,,"24,67,794",MENS & KIDS,TOTAL MENS
11168134,37882394187,1197653530,4/24/2016,,23.99,1,23.99,,,"24,67,794",MENS & KIDS,TOTAL MENS
11168134,37882394187,1235253267,09/04/2016,,19.19,2,38.38,,,"24,67,794",MENS & KIDS,TOTAL MENS
11662810,890000000000,1204802503,06/03/2016,6/15/2016,29.99,1,29.99,1,29.99,"24,68,949",MENS & KIDS,TOTAL MENS
11662810,890000000000,1198853962,4/29/2016,06/04/2016,33.75,1,33.75,1,33.75,"24,68,949",MENS & KIDS,TOTAL MENS
14143912,706000000000,1211471125,7/13/2016,,16.99,1,16.99,,,"26,61,412",READY TO WEAR,COLLECTIONS RTW
